src 10.0.1.10,src 10.0.1.30,src 10.0.1.70,src 10.0.1.170,src 10.0.2.20,src 10.0.2.80,src 10.0.2.160,src 10.0.2.180,dst 10.0.1.10,dst 10.0.1.30,dst 10.0.1.70,dst 10.0.1.170,dst 10.0.2.20,dst 10.0.2.80,dst 10.0.2.160,dst 10.0.2.180,dst 10.0.2.200,Lenght Tot.Pkt,Lenght Avg,Lenght Std,Total #Pkt,TCP #Pkt,UDP #Pkt,HTTP #Pkt,ICMP #Pkt,TCP Bytes,UDP Bytes,HTTP Bytes,ICMP Bytes,Syn Flag,Ack Flag,SynAck Flag,Psh Flag,Rst Flag,Fin Flag,Urg Flag,Class
3,15,0,0,5,14,0,0,5,14,0,0,3,15,0,0,0,64541,62712.447,6387.723,37,33,3,29,1,59681,4284,58473,576,2,32,1,14,0,2,0,0
4,17,0,0,4,12,0,0,4,12,0,0,4,17,0,0,0,62289,62708.375,6357.073,37,35,1,29,1,60285,1428,58473,576,2,34,1,17,0,2,0,0
3,16,0,0,5,11,0,0,5,11,0,0,3,16,0,0,0,63037,62711.505,6326.81,35,33,2,27,0,60181,2856,58369,0,2,32,1,16,0,2,0,0
3,17,0,0,3,12,0,0,3,12,0,0,3,17,0,0,0,61685,62701.821,6297.677,35,33,1,29,1,59681,1428,58473,576,2,32,1,16,0,2,0,0
5,18,0,0,5,12,0,0,5,12,0,0,5,18,0,0,0,65805,62730.822,6275.288,40,36,2,30,2,61797,2856,59985,1152,2,35,1,18,0,2,0,0
3,17,0,0,5,12,0,0,5,12,0,0,3,17,0,0,0,64541,62747.583,6248.574,37,33,3,29,1,59681,4284,58473,576,2,32,1,16,0,2,0,0
4,17,0,0,4,12,0,0,4,12,0,0,4,17,0,0,0,62289,62743.376,6219.998,37,35,1,29,1,60285,1428,58473,576,2,34,1,18,0,2,0,0
4,17,0,0,6,12,0,0,6,12,0,0,4,17,0,0,0,65145,62765.209,6195.855,39,35,3,29,1,60285,4284,58473,576,2,34,1,17,0,2,0,0
3,15,0,0,3,14,0,0,3,14,0,0,3,15,0,0,0,61685,62755.477,6168.727,35,33,1,29,1,59681,1428,58473,576,2,32,1,14,0,2,0,0
4,15,0,0,6,14,0,0,6,14,0,0,4,15,0,0,0,65145,62776.812,6145.239,39,35,3,29,1,60285,4284,58473,576,2,34,1,15,0,2,0,0
3,17,0,0,3,12,0,0,3,12,0,0,3,17,0,0,0,60285,62754.761,6122.436,35,35,0,29,0,60285,0,58473,0,2,34,1,17,0,2,0,0
3,17,0,0,5,12,0,0,5,12,0,0,3,17,0,0,0,64541,62770.43,6097.8,37,33,3,29,1,59681,4284,58473,576,2,32,1,16,0,2,0,0
4,17,0,0,4,12,0,0,4,12,0,0,4,17,0,0,0,62289,62766.243,6071.394,37,35,1,29,1,60285,1428,58473,576,2,34,1,18,0,2,0,0
4,15,0,0,4,14,0,0,4,14,0,0,4,15,0,0,0,63689,62774.198,6045.769,37,33,2,29,2,59681,2856,58473,1152,2,32,1,14,0,2,0,0
4,15,0,0,6,14,0,0,6,14,0,0,4,15,0,0,0,65145,62794.462,6023.832,39,35,3,29,1,60285,4284,58473,576,2,34,1,15,0,2,0,0
4,17,0,0,4,12,0,0,4,12,0,0,4,17,0,0,0,62289,62790.178,5998.432,37,35,1,29,1,60285,1428,58473,576,2,34,1,16,0,2,0,0
3,17,0,0,5,12,0,0,5,12,0,0,3,17,0,0,0,64541,62804.891,5975.313,37,33,3,29,1,59681,4284,58473,576,2,32,1,17,0,2,0,0
4,17,0,0,4,12,0,0,4,12,0,0,4,17,0,0,0,62289,62800.592,5950.549,37,35,1,29,1,60285,1428,58473,576,2,34,1,18,0,2,0,0
3,17,0,0,5,12,0,0,5,12,0,0,3,17,0,0,0,63141,62803.405,5925.989,37,35,2,29,0,60285,2856,58473,0,2,34,1,16,0,2,0,0
3,17,0,0,3,12,0,0,3,12,0,0,3,17,0,0,0,61685,62794.238,5902.513,35,33,1,29,1,59681,1428,58473,576,2,32,1,15,0,2,0,0
5,15,0,0,5,14,0,0,5,14,0,0,5,15,0,0,0,64293,62806.423,5880.011,39,35,2,29,2,60285,2856,58473,1152,2,34,1,15,0,2,0,0
3,15,0,0,5,14,0,0,5,14,0,0,3,15,0,0,0,64541,62820.411,5858.308,37,33,3,29,1,59681,4284,58473,576,2,32,1,14,0,2,0,0
4,17,0,0,4,12,0,0,4,12,0,0,4,17,0,0,0,62289,62816.16,5835.02,37,35,1,29,1,60285,1428,58473,576,2,34,1,16,0,2,0,0
4,15,0,0,6,14,0,0,6,14,0,0,4,15,0,0,0,65145,62834.643,5815.491,39,35,3,29,1,60285,4284,58473,576,2,34,1,15,0,2,0,0
3,17,0,0,3,12,0,0,3,12,0,0,3,17,0,0,0,61685,62825.591,5793.442,35,33,1,29,1,59681,1428,58473,576,2,32,1,16,0,2,0,0
3,15,0,0,5,14,0,0,5,14,0,0,3,15,0,0,0,63141,62828.055,5770.833,37,35,2,29,0,60285,2856,58473,0,2,34,1,15,0,2,0,0
4,17,0,0,4,12,0,0,4,12,0,0,4,17,0,0,0,62289,62823.876,5748.617,37,35,1,29,1,60285,1428,58473,576,2,34,1,16,0,2,0,0
3,15,0,0,5,13,0,0,5,13,0,0,3,15,0,0,0,64489,62836.685,5728.312,36,32,3,28,1,59629,4284,58421,576,2,31,1,14,0,2,0,0
4,17,0,0,4,12,0,0,4,12,0,0,4,17,0,0,0,62289,62832.504,5706.605,37,35,1,29,1,60285,1428,58473,576,2,34,1,17,0,2,0,0
4,18,0,0,4,13,0,0,4,13,0,0,4,18,0,0,0,65253,62850.841,5688.821,39,35,2,31,2,61245,2856,60037,1152,2,34,1,16,0,2,0,0
4,18,0,0,6,13,0,0,6,13,0,0,4,18,0,0,0,66709,62879.85,5677.185,41,37,3,31,1,61849,4284,60037,576,2,36,1,17,0,2,0,0
4,17,0,0,4,12,0,0,4,12,0,0,4,17,0,0,0,62289,62875.44,5656.191,37,35,1,29,1,60285,1428,58473,576,2,34,1,16,0,2,0,0
3,17,0,0,5,12,0,0,5,12,0,0,3,17,0,0,0,64541,62887.778,5637.012,37,33,3,29,1,59681,4284,58473,576,2,32,1,16,0,2,0,0
3,17,0,0,3,12,0,0,3,12,0,0,3,17,0,0,0,60285,62868.64,5620.65,35,35,0,29,0,60285,0,58473,0,2,34,1,18,0,2,0,0
4,17,0,0,6,12,0,0,6,12,0,0,4,17,0,0,0,65145,62885.255,5603.451,39,35,3,29,1,60285,4284,58473,576,2,34,1,16,0,2,0,0
3,17,0,0,3,16,0,0,3,16,0,0,3,17,0,0,0,61893,62878.065,5583.746,39,37,1,33,1,59889,1428,58681,576,2,36,1,17,0,2,0,0
5,17,0,0,5,12,0,0,5,12,0,0,5,17,0,0,0,64293,62888.245,5564.909,39,35,2,29,2,60285,2856,58473,1152,2,34,1,18,0,2,0,0
3,17,0,0,5,12,0,0,5,12,0,0,3,17,0,0,0,64541,62900.05,5546.745,37,33,3,29,1,59681,4284,58473,576,2,32,1,16,0,2,0,0
4,17,0,0,4,12,0,0,4,12,0,0,4,17,0,0,0,62289,62895.716,5527.279,37,35,1,29,1,60285,1428,58473,576,2,34,1,17,0,2,0,0
4,17,0,0,6,12,0,0,6,12,0,0,4,17,0,0,0,65145,62911.556,5510.993,39,35,3,29,1,60285,4284,58473,576,2,34,1,17,0,2,0,0
3,15,0,0,3,14,0,0,3,14,0,0,3,15,0,0,0,61685,62902.979,5492.641,35,33,1,29,1,59681,1428,58473,576,2,32,1,14,0,2,0,0
3,15,0,0,5,14,0,0,5,14,0,0,3,15,0,0,0,63141,62904.632,5473.571,37,35,2,29,0,60285,2856,58473,0,2,34,1,15,0,2,0,0
4,15,0,0,4,13,0,0,4,13,0,0,4,15,0,0,0,62237,62900.028,5454.944,36,34,1,28,1,60233,1428,58421,576,2,33,1,15,0,2,0,0
4,15,0,0,4,14,0,0,4,14,0,0,4,15,0,0,0,63689,62905.432,5436.62,37,33,2,29,2,59681,2856,58473,1152,2,32,1,14,0,2,0,0
4,17,0,0,6,12,0,0,6,12,0,0,4,17,0,0,0,65145,62920.667,5421.223,39,35,3,29,1,60285,4284,58473,576,2,34,1,18,0,2,0,0
3,15,0,0,3,13,0,0,3,13,0,0,3,15,0,0,0,61633,62911.966,5403.907,34,32,1,28,1,59629,1428,58421,576,2,31,1,14,0,2,0,0
4,14,0,0,6,14,0,0,6,14,0,0,4,14,0,0,0,65093,62926.604,5388.686,38,34,3,28,1,60233,4284,58421,576,2,33,1,14,0,2,0,0
4,12,0,0,4,13,0,0,4,13,0,0,4,12,0,0,0,62081,62920.967,5371.134,33,31,1,25,1,60077,1428,58265,576,2,30,1,13,0,2,0,0
3,17,0,0,5,12,0,0,5,12,0,0,3,17,0,0,0,64541,62931.695,5354.932,37,33,3,29,1,59681,4284,58473,576,2,32,1,16,0,2,0,0
